state,collection_date,positive,all_SGTF,sequenced_SGTF,B117
FL,2020-12-09,436,9,0,0
GA,2020-12-09,213,0,0,0
ID,2020-12-09,3,0,0,0
IL,2020-12-09,8,0,0,0
IN,2020-12-09,341,0,0,0
LA,2020-12-09,38,0,0,0
MA,2020-12-09,55,0,0,0
MD,2020-12-09,8,0,0,0
MI,2020-12-09,108,0,0,0
NC,2020-12-09,168,0,0,0
NJ,2020-12-09,14,0,0,0
NM,2020-12-09,3,0,0,0
NY,2020-12-09,9,0,0,0
OH,2020-12-09,17,0,0,0
PA,2020-12-09,229,1,0,0
SC,2020-12-09,5,0,0,0
TN,2020-12-09,9,0,0,0
TX,2020-12-09,193,0,0,0
AL,2020-12-10,11,0,0,0
AZ,2020-12-10,91,0,0,0
CA,2020-12-10,954,3,0,0
CO,2020-12-10,5,0,0,0
CT,2020-12-10,3,0,0,0
DE,2020-12-10,3,0,0,0
FL,2020-12-10,514,8,0,0
GA,2020-12-10,241,0,0,0
IL,2020-12-10,17,0,0,0
IN,2020-12-10,357,0,0,0
KS,2020-12-10,4,0,0,0
KY,2020-12-10,21,0,0,0
LA,2020-12-10,36,0,0,0
MA,2020-12-10,71,3,0,0
MD,2020-12-10,3,0,0,0
MI,2020-12-10,91,0,0,0
MN,2020-12-10,5,0,0,0
MO,2020-12-10,5,0,0,0
MS,2020-12-10,3,0,0,0
NC,2020-12-10,197,0,0,0
NJ,2020-12-10,4,0,0,0
NM,2020-12-10,5,0,0,0
NV,2020-12-10,8,0,0,0
NY,2020-12-10,3,0,0,0
OH,2020-12-10,27,0,0,0
OK,2020-12-10,5,0,0,0
OR,2020-12-10,4,0,0,0
PA,2020-12-10,241,2,0,0
SC,2020-12-10,9,0,0,0
TN,2020-12-10,8,0,0,0
TX,2020-12-10,225,1,0,0
VA,2020-12-10,5,0,0,0
WI,2020-12-10,3,0,0,0
AL,2020-12-11,14,0,0,0
AZ,2020-12-11,77,0,0,0
CA,2020-12-11,823,0,0,0
CT,2020-12-11,3,0,0,0
FL,2020-12-11,434,8,0,0
GA,2020-12-11,257,0,0,0
ID,2020-12-11,3,0,0,0
IN,2020-12-11,286,0,0,0
LA,2020-12-11,34,0,0,0
MA,2020-12-11,68,4,0,0
MD,2020-12-11,7,0,0,0
MI,2020-12-11,83,0,0,0
NC,2020-12-11,167,0,0,0
NJ,2020-12-11,4,0,0,0
NV,2020-12-11,6,0,0,0
OH,2020-12-11,18,0,0,0
OK,2020-12-11,12,0,0,0
PA,2020-12-11,267,1,0,0
SC,2020-12-11,3,0,0,0
TX,2020-12-11,214,0,0,0
VA,2020-12-11,3,0,0,0
AL,2020-12-12,4,0,0,0
AR,2020-12-12,3,0,0,0
AZ,2020-12-12,77,0,0,0
CA,2020-12-12,741,4,0,0
CO,2020-12-12,5,0,0,0
CT,2020-12-12,3,0,0,0
FL,2020-12-12,490,3,0,0
GA,2020-12-12,241,0,0,0
IL,2020-12-12,11,0,0,0
IN,2020-12-12,357,1,0,0
KY,2020-12-12,3,0,0,0
LA,2020-12-12,36,0,0,0
MA,2020-12-12,65,5,0,0
MI,2020-12-12,73,0,0,0
MN,2020-12-12,3,0,0,0
NC,2020-12-12,191,0,0,0
NJ,2020-12-12,8,0,0,0
NV,2020-12-12,5,0,0,0
NY,2020-12-12,9,0,0,0
OH,2020-12-12,12,0,0,0
PA,2020-12-12,212,0,0,0
SC,2020-12-12,7,0,0,0
TX,2020-12-12,214,0,0,0
AZ,2020-12-13,81,0,0,0
CA,2020-12-13,684,0,0,0
FL,2020-12-13,501,5,0,0
GA,2020-12-13,213,1,0,0
IL,2020-12-13,4,0,0,0
IN,2020-12-13,313,0,0,0
LA,2020-12-13,22,0,0,0
MA,2020-12-13,53,3,0,0
MI,2020-12-13,56,0,0,0
NC,2020-12-13,166,0,0,0
OH,2020-12-13,9,1,0,0
PA,2020-12-13,207,0,0,0
SC,2020-12-13,5,0,0,0
TX,2020-12-13,179,0,0,0
AL,2020-12-14,4,0,0,0
AZ,2020-12-14,97,0,0,0
CA,2020-12-14,1230,5,0,0
CO,2020-12-14,5,0,0,0
FL,2020-12-14,585,12,0,0
GA,2020-12-14,297,2,0,0
IL,2020-12-14,11,0,0,0
IN,2020-12-14,400,1,0,0
KY,2020-12-14,7,0,0,0
LA,2020-12-14,34,0,0,0
MA,2020-12-14,80,1,0,0
MD,2020-12-14,4,0,0,0
MI,2020-12-14,73,0,0,0
NC,2020-12-14,237,0,0,0
NJ,2020-12-14,15,0,0,0
NY,2020-12-14,5,0,0,0
OH,2020-12-14,12,1,0,0
OK,2020-12-14,10,0,0,0
PA,2020-12-14,237,3,0,0
SC,2020-12-14,10,0,0,0
TN,2020-12-14,6,0,0,0
TX,2020-12-14,244,0,0,0
WA,2020-12-14,3,0,0,0
WI,2020-12-14,3,0,0,0
WV,2020-12-14,3,0,0,0
AL,2020-12-15,9,0,0,0
AZ,2020-12-15,96,0,0,0
CA,2020-12-15,1053,4,0,0
CO,2020-12-15,5,0,0,0
CT,2020-12-15,4,0,0,0
FL,2020-12-15,529,5,0,0
GA,2020-12-15,286,0,0,0
IL,2020-12-15,15,0,0,0
IN,2020-12-15,301,0,0,0
KS,2020-12-15,3,0,0,0
KY,2020-12-15,13,0,0,0
LA,2020-12-15,43,0,0,0
MA,2020-12-15,83,2,0,0
MD,2020-12-15,4,0,0,0
MI,2020-12-15,87,0,0,0
MN,2020-12-15,4,0,0,0
MO,2020-12-15,4,0,0,0
MS,2020-12-15,6,0,0,0
NC,2020-12-15,198,0,0,0
NJ,2020-12-15,6,0,0,0
NM,2020-12-15,3,0,0,0
NV,2020-12-15,3,0,0,0
NY,2020-12-15,7,0,0,0
OH,2020-12-15,17,0,0,0
OR,2020-12-15,6,0,0,0
PA,2020-12-15,258,1,0,0
PR,2020-12-15,3,0,0,0
RI,2020-12-15,5,2,0,0
SC,2020-12-15,9,0,0,0
TN,2020-12-15,14,0,0,0
TX,2020-12-15,243,0,0,0
VA,2020-12-15,7,0,0,0
WA,2020-12-15,3,0,0,0
WI,2020-12-15,6,0,0,0
AL,2020-12-16,3,0,0,0
AZ,2020-12-16,89,0,0,0
CA,2020-12-16,1044,4,0,0
FL,2020-12-16,437,9,0,0
GA,2020-12-16,219,0,0,0
IL,2020-12-16,13,0,0,0
IN,2020-12-16,293,0,0,0
KY,2020-12-16,3,0,0,0
LA,2020-12-16,30,0,0,0
MA,2020-12-16,65,2,0,0
MD,2020-12-16,5,0,0,0
MI,2020-12-16,65,0,0,0
NC,2020-12-16,162,0,0,0
NJ,2020-12-16,12,0,0,0
NV,2020-12-16,5,0,0,0
NY,2020-12-16,7,0,0,0
OH,2020-12-16,6,0,0,0
PA,2020-12-16,197,0,0,0
SC,2020-12-16,4,0,0,0
TN,2020-12-16,5,0,0,0
TX,2020-12-16,202,0,0,0
VA,2020-12-16,4,0,0,0
AL,2020-12-17,8,0,0,0
AR,2020-12-17,4,0,0,0
AZ,2020-12-17,71,0,0,0
CA,2020-12-17,1069,8,0,0
CO,2020-12-17,4,0,0,0
DE,2020-12-17,3,0,0,0
FL,2020-12-17,495,1,0,0
GA,2020-12-17,237,1,0,0
IL,2020-12-17,14,0,0,0
IN,2020-12-17,274,0,0,0
KS,2020-12-17,3,0,0,0
KY,2020-12-17,10,0,0,0
LA,2020-12-17,33,0,0,0
MA,2020-12-17,71,0,0,0
MI,2020-12-17,72,0,0,0
MN,2020-12-17,5,0,0,0
MS,2020-12-17,9,0,0,0
NC,2020-12-17,202,0,0,0
NJ,2020-12-17,6,0,0,0
NV,2020-12-17,3,0,0,0
NY,2020-12-17,7,0,0,0
OH,2020-12-17,24,0,0,0
OR,2020-12-17,4,0,0,0
PA,2020-12-17,192,0,0,0
SC,2020-12-17,7,0,0,0
TN,2020-12-17,9,0,0,0
TX,2020-12-17,223,0,0,0
VA,2020-12-17,6,0,0,0
AL,2020-12-18,8,0,0,0
AZ,2020-12-18,82,0,0,0
CA,2020-12-18,909,6,0,0
CO,2020-12-18,3,0,0,0
FL,2020-12-18,515,7,0,0
GA,2020-12-18,220,2,0,0
IL,2020-12-18,7,0,0,0
IN,2020-12-18,299,0,0,0
LA,2020-12-18,35,0,0,0
MA,2020-12-18,76,3,0,0
MI,2020-12-18,59,1,0,0
NC,2020-12-18,190,0,0,0
NJ,2020-12-18,5,0,0,0
NY,2020-12-18,5,0,0,0
OH,2020-12-18,8,0,0,0
OK,2020-12-18,5,0,0,0
PA,2020-12-18,200,0,0,0
SC,2020-12-18,7,0,0,0
TX,2020-12-18,198,0,0,0
AZ,2020-12-19,60,0,0,0
CA,2020-12-19,772,2,0,0
FL,2020-12-19,501,5,5,1
GA,2020-12-19,228,0,0,0
IL,2020-12-19,9,0,0,0
IN,2020-12-19,269,0,0,0
LA,2020-12-19,29,0,0,0
MA,2020-12-19,66,4,4,0
MI,2020-12-19,59,0,0,0
MO,2020-12-19,3,0,0,0
NC,2020-12-19,147,0,0,0
NJ,2020-12-19,8,0,0,0
OH,2020-12-19,13,0,0,0
PA,2020-12-19,195,1,1,0
SC,2020-12-19,4,0,0,0
TX,2020-12-19,196,0,0,0
VA,2020-12-19,7,0,0,0
WA,2020-12-19,3,0,0,0
WI,2020-12-19,6,0,0,0
AZ,2020-12-20,77,0,0,0
CA,2020-12-20,669,2,1,1
CT,2020-12-20,3,0,0,0
FL,2020-12-20,407,3,3,0
GA,2020-12-20,192,0,0,0
IL,2020-12-20,4,0,0,0
IN,2020-12-20,247,1,1,0
LA,2020-12-20,29,0,0,0
MA,2020-12-20,43,2,2,0
MI,2020-12-20,63,0,0,0
NC,2020-12-20,125,0,0,0
NJ,2020-12-20,4,0,0,0
OH,2020-12-20,8,0,0,0
PA,2020-12-20,140,1,1,0
TX,2020-12-20,174,0,0,0
AL,2020-12-21,3,0,0,0
AR,2020-12-21,3,0,0,0
AZ,2020-12-21,94,0,0,0
CA,2020-12-21,989,3,3,1
CT,2020-12-21,3,0,0,0
FL,2020-12-21,553,10,0,0
GA,2020-12-21,302,2,0,0
IL,2020-12-21,5,0,0,0
IN,2020-12-21,341,0,0,0
LA,2020-12-21,43,0,0,0
MA,2020-12-21,36,0,0,0
MI,2020-12-21,64,0,0,0
NC,2020-12-21,170,0,0,0
NJ,2020-12-21,6,0,0,0
NY,2020-12-21,11,0,0,0
OH,2020-12-21,17,0,0,0
OK,2020-12-21,10,0,0,0
PA,2020-12-21,215,0,0,0
SC,2020-12-21,9,0,0,0
TN,2020-12-21,7,0,0,0
TX,2020-12-21,230,0,0,0
VA,2020-12-21,3,0,0,0
AL,2020-12-22,16,0,0,0
AZ,2020-12-22,94,0,0,0
CA,2020-12-22,1037,10,0,0
CO,2020-12-22,3,0,0,0
FL,2020-12-22,455,4,0,0
GA,2020-12-22,281,1,0,0
IL,2020-12-22,15,0,0,0
IN,2020-12-22,270,2,0,0
KY,2020-12-22,9,0,0,0
LA,2020-12-22,26,0,0,0
MA,2020-12-22,59,1,0,0
MI,2020-12-22,74,0,0,0
MN,2020-12-22,5,0,0,0
MS,2020-12-22,10,0,0,0
NC,2020-12-22,183,0,0,0
NJ,2020-12-22,7,0,0,0
NV,2020-12-22,9,0,0,0
NY,2020-12-22,5,0,0,0
OH,2020-12-22,29,0,0,0
OK,2020-12-22,3,0,0,0
OR,2020-12-22,6,0,0,0
PA,2020-12-22,180,1,0,0
SC,2020-12-22,6,0,0,0
TN,2020-12-22,13,0,0,0
TX,2020-12-22,235,0,0,0
VA,2020-12-22,8,0,0,0
WI,2020-12-22,5,0,0,0
AL,2020-12-23,11,0,0,0
AZ,2020-12-23,111,0,0,0
CA,2020-12-23,999,2,0,0
FL,2020-12-23,622,9,0,0
GA,2020-12-23,318,0,0,0
IL,2020-12-23,19,0,0,0
IN,2020-12-23,330,1,1,0
LA,2020-12-23,45,0,0,0
MA,2020-12-23,58,4,0,0
MI,2020-12-23,58,0,0,0
NC,2020-12-23,203,0,0,0
NJ,2020-12-23,14,0,0,0
NV,2020-12-23,5,0,0,0
NY,2020-12-23,9,0,0,0
OH,2020-12-23,10,0,0,0
PA,2020-12-23,251,1,0,0
SC,2020-12-23,13,0,0,0
TN,2020-12-23,5,0,0,0
TX,2020-12-23,267,0,0,0
VA,2020-12-23,5,0,0,0
AL,2020-12-24,7,0,0,0
AZ,2020-12-24,113,0,0,0
CA,2020-12-24,814,4,1,0
DE,2020-12-24,5,0,0,0
FL,2020-12-24,735,6,0,0
GA,2020-12-24,350,0,0,0
IL,2020-12-24,13,0,0,0
IN,2020-12-24,332,1,1,0
LA,2020-12-24,30,0,0,0
MA,2020-12-24,70,1,1,0
MD,2020-12-24,5,0,0,0
MI,2020-12-24,55,0,0,0
NC,2020-12-24,237,0,0,0
NJ,2020-12-24,7,0,0,0
NV,2020-12-24,6,0,0,0
NY,2020-12-24,6,0,0,0
OH,2020-12-24,12,0,0,0
OK,2020-12-24,3,0,0,0
OR,2020-12-24,4,0,0,0
PA,2020-12-24,265,1,1,0
SC,2020-12-24,7,0,0,0
TN,2020-12-24,4,0,0,0
TX,2020-12-24,312,1,1,0
VA,2020-12-24,6,0,0,0
CA,2020-12-25,244,1,0,0
OR,2020-12-25,4,0,0,0
AL,2020-12-26,3,0,0,0
AR,2020-12-26,3,0,0,0
AZ,2020-12-26,118,1,1,0
CA,2020-12-26,1013,4,4,4
FL,2020-12-26,716,9,9,5
GA,2020-12-26,396,0,0,0
HI,2020-12-26,3,0,0,0
IL,2020-12-26,9,0,0,0
IN,2020-12-26,394,0,0,0
KY,2020-12-26,3,0,0,0
LA,2020-12-26,63,0,0,0
MA,2020-12-26,91,4,4,0
MD,2020-12-26,6,0,0,0
MI,2020-12-26,81,0,0,0
NC,2020-12-26,268,0,0,0
NJ,2020-12-26,13,0,0,0
NY,2020-12-26,6,0,0,0
OH,2020-12-26,6,0,0,0
PA,2020-12-26,292,0,0,0
SC,2020-12-26,12,0,0,0
TN,2020-12-26,3,0,0,0
TX,2020-12-26,325,1,1,0
AL,2020-12-27,10,1,1,0
AZ,2020-12-27,94,0,0,0
CA,2020-12-27,949,3,3,2
FL,2020-12-27,633,6,6,2
GA,2020-12-27,320,0,0,0
IL,2020-12-27,4,0,0,0
IN,2020-12-27,316,0,0,0
LA,2020-12-27,40,0,0,0
MA,2020-12-27,79,2,2,0
MD,2020-12-27,5,0,0,0
MI,2020-12-27,59,0,0,0
NC,2020-12-27,243,0,0,0
NJ,2020-12-27,12,0,0,0
NY,2020-12-27,4,0,0,0
OH,2020-12-27,12,0,0,0
PA,2020-12-27,281,0,0,0
SC,2020-12-27,9,0,0,0
TN,2020-12-27,3,0,0,0
TX,2020-12-27,293,0,0,0
VA,2020-12-27,5,0,0,0
AL,2020-12-28,7,0,0,0
AZ,2020-12-28,125,1,1,0
CA,2020-12-28,1211,4,4,3
FL,2020-12-28,860,12,12,6
GA,2020-12-28,425,0,0,0
IL,2020-12-28,5,0,0,0
IN,2020-12-28,378,0,0,0
KS,2020-12-28,3,0,0,0
KY,2020-12-28,5,0,0,0
LA,2020-12-28,67,1,1,0
MA,2020-12-28,111,4,4,0
MD,2020-12-28,10,0,0,0
MI,2020-12-28,71,0,0,0
MO,2020-12-28,3,0,0,0
NC,2020-12-28,287,0,0,0
NJ,2020-12-28,8,0,0,0
NV,2020-12-28,5,0,0,0
NY,2020-12-28,18,0,0,0
OH,2020-12-28,10,0,0,0
OK,2020-12-28,4,0,0,0
PA,2020-12-28,270,1,1,1
SC,2020-12-28,4,0,0,0
TN,2020-12-28,3,0,0,0
TX,2020-12-28,331,0,0,0
VA,2020-12-28,5,0,0,0
AL,2020-12-29,12,0,0,0
AZ,2020-12-29,145,0,0,0
CA,2020-12-29,1465,11,11,7
DE,2020-12-29,3,0,0,0
FL,2020-12-29,832,13,13,5
GA,2020-12-29,439,1,1,1
HI,2020-12-29,4,0,0,0
IL,2020-12-29,13,0,0,0
IN,2020-12-29,386,0,0,0
KY,2020-12-29,8,0,0,0
LA,2020-12-29,82,0,0,0
MA,2020-12-29,107,4,4,0
MD,2020-12-29,6,0,0,0
MI,2020-12-29,76,0,0,0
MS,2020-12-29,3,0,0,0
NC,2020-12-29,341,0,0,0
NJ,2020-12-29,9,0,0,0
NM,2020-12-29,3,0,0,0
NV,2020-12-29,5,0,0,0
NY,2020-12-29,8,0,0,0
OH,2020-12-29,15,0,0,0
PA,2020-12-29,293,2,2,0
SC,2020-12-29,8,0,0,0
TN,2020-12-29,10,0,0,0
TX,2020-12-29,361,0,0,0
VA,2020-12-29,14,0,0,0
WA,2020-12-29,4,0,0,0
WI,2020-12-29,8,0,0,0
AL,2020-12-30,11,0,0,0
AZ,2020-12-30,126,0,0,0
CA,2020-12-30,1456,8,7,4
CO,2020-12-30,4,0,0,0
CT,2020-12-30,3,0,0,0
FL,2020-12-30,767,11,11,7
GA,2020-12-30,398,0,0,0
IL,2020-12-30,6,0,0,0
IN,2020-12-30,384,0,0,0
KY,2020-12-30,4,0,0,0
LA,2020-12-30,77,0,0,0
MA,2020-12-30,98,3,3,0
MD,2020-12-30,3,0,0,0
MI,2020-12-30,95,0,0,0
MO,2020-12-30,4,0,0,0
NC,2020-12-30,270,1,1,0
NJ,2020-12-30,5,0,0,0
NY,2020-12-30,13,0,0,0
OH,2020-12-30,12,0,0,0
PA,2020-12-30,272,1,1,0
TN,2020-12-30,5,0,0,0
TX,2020-12-30,344,0,0,0
VA,2020-12-30,5,0,0,0
AL,2020-12-31,6,0,0,0
AZ,2020-12-31,114,0,0,0
CA,2020-12-31,1246,7,7,7
FL,2020-12-31,726,15,15,7
GA,2020-12-31,410,0,0,0
IL,2020-12-31,14,0,0,0
IN,2020-12-31,326,1,1,1
KY,2020-12-31,7,0,0,0
LA,2020-12-31,61,0,0,0
MA,2020-12-31,90,5,5,0
MI,2020-12-31,74,0,0,0
MS,2020-12-31,3,0,0,0
NC,2020-12-31,298,0,0,0
NJ,2020-12-31,9,0,0,0
NV,2020-12-31,8,0,0,0
NY,2020-12-31,17,0,0,0
OH,2020-12-31,11,0,0,0
OK,2020-12-31,3,0,0,0
OR,2020-12-31,3,0,0,0
PA,2020-12-31,241,2,1,0
SC,2020-12-31,4,0,0,0
TN,2020-12-31,5,0,0,0
TX,2020-12-31,243,0,0,0
VA,2020-12-31,3,0,0,0
WA,2020-12-31,8,0,0,0
CA,2021-01-01,533,0,0,0
AL,2021-01-02,9,1,1,0
AZ,2021-01-02,115,0,0,0
CA,2021-01-02,1092,7,4,4
FL,2021-01-02,866,17,15,5
GA,2021-01-02,440,1,1,0
IL,2021-01-02,4,0,0,0
IN,2021-01-02,443,0,0,0
KY,2021-01-02,8,0,0,0
LA,2021-01-02,95,1,1,0
MA,2021-01-02,94,6,0,0
MI,2021-01-02,98,0,0,0
NC,2021-01-02,280,1,0,0
NJ,2021-01-02,15,0,0,0
NY,2021-01-02,10,0,0,0
OH,2021-01-02,14,0,0,0
PA,2021-01-02,321,0,0,0
SC,2021-01-02,8,0,0,0
TN,2021-01-02,10,0,0,0
TX,2021-01-02,291,1,1,1
VA,2021-01-02,5,0,0,0
AL,2021-01-03,13,0,0,0
AZ,2021-01-03,117,0,0,0
CA,2021-01-03,1044,7,5,5
FL,2021-01-03,768,14,9,2
GA,2021-01-03,392,3,2,1
IL,2021-01-03,5,0,0,0
IN,2021-01-03,343,1,0,0
KY,2021-01-03,6,0,0,0
LA,2021-01-03,58,0,0,0
MA,2021-01-03,92,2,1,0
MD,2021-01-03,7,0,0,0
MI,2021-01-03,112,0,0,0
MS,2021-01-03,5,0,0,0
NC,2021-01-03,211,0,0,0
NJ,2021-01-03,6,0,0,0
NY,2021-01-03,14,0,0,0
OH,2021-01-03,11,0,0,0
PA,2021-01-03,279,0,0,0
TN,2021-01-03,4,0,0,0
TX,2021-01-03,255,0,0,0
VA,2021-01-03,6,0,0,0
WA,2021-01-03,3,0,0,0
AL,2021-01-04,6,0,0,0
AR,2021-01-04,3,0,0,0
AZ,2021-01-04,160,0,0,0
CA,2021-01-04,1607,5,1,1
CT,2021-01-04,3,0,0,0
FL,2021-01-04,1046,12,9,3
GA,2021-01-04,478,3,3,2
IL,2021-01-04,11,0,0,0
IN,2021-01-04,409,2,2,2
KY,2021-01-04,9,0,0,0
LA,2021-01-04,72,1,1,0
MA,2021-01-04,97,5,5,0
MD,2021-01-04,3,0,0,0
MI,2021-01-04,85,0,0,0
MO,2021-01-04,3,0,0,0
NC,2021-01-04,311,0,0,0
NJ,2021-01-04,7,0,0,0
NY,2021-01-04,5,0,0,0
OH,2021-01-04,7,0,0,0
PA,2021-01-04,304,3,3,0
SC,2021-01-04,8,0,0,0
TX,2021-01-04,370,1,1,0
AL,2021-01-05,14,0,0,0
AR,2021-01-05,3,0,0,0
AZ,2021-01-05,130,0,0,0
CA,2021-01-05,1388,20,19,15
DE,2021-01-05,4,0,0,0
FL,2021-01-05,857,13,12,4
GA,2021-01-05,459,1,1,1
IL,2021-01-05,16,0,0,0
IN,2021-01-05,373,1,1,0
KY,2021-01-05,9,0,0,0
LA,2021-01-05,61,0,0,0
MA,2021-01-05,120,2,2,0
MI,2021-01-05,89,0,0,0
MO,2021-01-05,3,0,0,0
MS,2021-01-05,4,0,0,0
NC,2021-01-05,303,1,1,0
NJ,2021-01-05,14,0,0,0
NV,2021-01-05,10,0,0,0
NY,2021-01-05,14,0,0,0
OH,2021-01-05,14,0,0,0
PA,2021-01-05,330,2,2,1
RI,2021-01-05,3,0,0,0
SC,2021-01-05,14,0,0,0
TN,2021-01-05,6,0,0,0
TX,2021-01-05,279,0,0,0
VA,2021-01-05,6,0,0,0
WA,2021-01-05,5,0,0,0
AL,2021-01-06,6,0,0,0
AZ,2021-01-06,125,0,0,0
CA,2021-01-06,1288,7,7,4
FL,2021-01-06,776,9,8,2
GA,2021-01-06,398,3,3,1
IL,2021-01-06,12,0,0,0
IN,2021-01-06,298,1,1,0
LA,2021-01-06,64,0,0,0
MA,2021-01-06,118,4,4,1
MD,2021-01-06,4,0,0,0
MI,2021-01-06,79,0,0,0
NC,2021-01-06,269,2,2,1
NJ,2021-01-06,13,0,0,0
NV,2021-01-06,3,0,0,0
NY,2021-01-06,12,0,0,0
OH,2021-01-06,3,0,0,0
PA,2021-01-06,304,3,3,0
SC,2021-01-06,11,0,0,0
TN,2021-01-06,5,0,0,0
TX,2021-01-06,279,0,0,0
VA,2021-01-06,3,0,0,0
AL,2021-01-07,7,0,0,0
AR,2021-01-07,4,0,0,0
AZ,2021-01-07,117,0,0,0
CA,2021-01-07,1188,10,9,9
CT,2021-01-07,3,0,0,0
FL,2021-01-07,717,18,15,9
GA,2021-01-07,368,1,1,0
IL,2021-01-07,15,0,0,0
IN,2021-01-07,338,0,0,0
KY,2021-01-07,5,0,0,0
LA,2021-01-07,51,0,0,0
MA,2021-01-07,116,3,2,0
MD,2021-01-07,5,0,0,0
MI,2021-01-07,69,0,0,0
MN,2021-01-07,5,0,0,0
MO,2021-01-07,4,0,0,0
NC,2021-01-07,285,1,1,0
NJ,2021-01-07,12,0,0,0
NV,2021-01-07,4,0,0,0
NY,2021-01-07,11,0,0,0
OH,2021-01-07,15,0,0,0
OK,2021-01-07,4,0,0,0
PA,2021-01-07,294,1,0,0
SC,2021-01-07,4,0,0,0
TN,2021-01-07,10,0,0,0
TX,2021-01-07,266,0,0,0
VA,2021-01-07,12,0,0,0
WA,2021-01-07,6,0,0,0
AL,2021-01-08,4,0,0,0
AZ,2021-01-08,128,0,0,0
CA,2021-01-08,983,9,7,7
CT,2021-01-08,4,0,0,0
DE,2021-01-08,3,0,0,0
FL,2021-01-08,763,11,10,4
GA,2021-01-08,324,3,3,3
IL,2021-01-08,45,0,0,0
IN,2021-01-08,268,0,0,0
KY,2021-01-08,4,0,0,0
LA,2021-01-08,58,0,0,0
MA,2021-01-08,98,5,5,0
MI,2021-01-08,67,0,0,0
MN,2021-01-08,9,0,0,0
NC,2021-01-08,220,1,1,0
NJ,2021-01-08,12,0,0,0
NY,2021-01-08,7,0,0,0
OH,2021-01-08,12,0,0,0
OK,2021-01-08,7,0,0,0
PA,2021-01-08,311,0,0,0
SC,2021-01-08,3,0,0,0
TX,2021-01-08,251,2,2,2
AZ,2021-01-09,109,0,0,0
CA,2021-01-09,798,0,0,0
FL,2021-01-09,556,12,11,7
GA,2021-01-09,267,1,1,1
IL,2021-01-09,26,0,0,0
IN,2021-01-09,272,0,0,0
LA,2021-01-09,34,1,1,0
MA,2021-01-09,88,2,2,1
MI,2021-01-09,62,0,0,0
MN,2021-01-09,7,0,0,0
NC,2021-01-09,209,0,0,0
NJ,2021-01-09,9,0,0,0
NY,2021-01-09,3,0,0,0
OH,2021-01-09,10,0,0,0
PA,2021-01-09,239,1,1,1
SC,2021-01-09,5,0,0,0
TX,2021-01-09,205,0,0,0
VA,2021-01-09,6,0,0,0
WA,2021-01-09,4,0,0,0
AZ,2021-01-10,81,0,0,0
CA,2021-01-10,643,7,7,7
FL,2021-01-10,490,11,10,8
GA,2021-01-10,221,0,0,0
IL,2021-01-10,28,0,0,0
IN,2021-01-10,256,0,0,0
KY,2021-01-10,6,0,0,0
LA,2021-01-10,36,0,0,0
MA,2021-01-10,83,3,2,0
MI,2021-01-10,53,1,1,1
MN,2021-01-10,8,0,0,0
NC,2021-01-10,171,1,1,0
NJ,2021-01-10,6,0,0,0
NY,2021-01-10,3,0,0,0
OH,2021-01-10,7,0,0,0
PA,2021-01-10,184,3,2,1
TX,2021-01-10,191,0,0,0
AL,2021-01-11,4,0,0,0
AZ,2021-01-11,163,0,0,0
CA,2021-01-11,1035,12,11,10
FL,2021-01-11,769,14,13,11
GA,2021-01-11,357,2,2,2
IL,2021-01-11,33,0,0,0
IN,2021-01-11,264,0,0,0
LA,2021-01-11,41,1,1,1
MA,2021-01-11,123,9,9,0
MI,2021-01-11,63,1,1,1
MN,2021-01-11,20,0,0,0
NC,2021-01-11,243,1,1,1
NJ,2021-01-11,5,0,0,0
NV,2021-01-11,3,0,0,0
NY,2021-01-11,10,0,0,0
OH,2021-01-11,12,0,0,0
PA,2021-01-11,277,1,1,0
TX,2021-01-11,254,0,0,0
WI,2021-01-11,3,0,0,0
